step,window,fill_count,fill_probability,fill_total,mean_window,sd_window,optional_reset_rate,forced_reset_rate
40,8,79,0.00111623,70774,2.57132563,1.41706537,0.29052000,0.00174000
41,1,19404,0.28140091,68955,2.61292147,1.50570658,0.30864000,0.00181000
41,2,20087,0.29130592,68955,2.61292147,1.50570658,0.30864000,0.00181000
41,3,11610,0.16837068,68955,2.61292147,1.50570658,0.30864000,0.00181000
41,4,6820,0.09890508,68955,2.61292147,1.50570658,0.30864000,0.00181000
41,5,8333,0.12084693,68955,2.61292147,1.50570658,0.30864000,0.00181000
41,6,2183,0.03165833,68955,2.61292147,1.50570658,0.30864000,0.00181000
41,7,421,0.00610543,68955,2.61292147,1.50570658,0.30864000,0.00181000
41,8,97,0.00140671,68955,2.61292147,1.50570658,0.30864000,0.00181000
42,1,20033,0.29391138,68160,2.67529343,1.60226326,0.31583000,0.00257000
42,2,19027,0.27915200,68160,2.67529343,1.60226326,0.31583000,0.00257000
42,3,9888,0.14507042,68160,2.67529343,1.60226326,0.31583000,0.00257000
42,4,5802,0.08512324,68160,2.67529343,1.60226326,0.31583000,0.00257000
42,5,9884,0.14501174,68160,2.67529343,1.60226326,0.31583000,0.00257000
42,6,2837,0.04162265,68160,2.67529343,1.60226326,0.31583000,0.00257000
42,7,565,0.00828932,68160,2.67529343,1.60226326,0.31583000,0.00257000
42,8,124,0.00181925,68160,2.67529343,1.60226326,0.31583000,0.00257000
43,1,20261,0.30041665,67443,2.78473674,1.70992513,0.32265000,0.00292000
43,2,17597,0.26091663,67443,2.78473674,1.70992513,0.32265000,0.00292000
